Journal name,Frequency
conservation genetics,10
gondwana research,1
agrekon,1
annales de la societe entomologique de france,1
molecular phylogenetics and evolution,60
"palaeogeography, palaeoclimatology, palaeoecology",12
journal of agricultural science,6
journal of environmental management,3
land use policy,1
journal of apicultural research,1
euphytica,1
american naturalist,9
climate of the past,2
israel journal of plant sciences,1
gayana,1
european journal of wildlife research,1
water,1
"infection, genetics and evolution",1
transactions of the american entomological society,1
mammal review,3
palaeontologische zeitschrift,1
evolutionary applications,4
israel journal of ecology and evolution,1
southeastern naturalist,3
journal of ethnobiology,1
zoological studies,3
ecological monographs,1
biological conservation,61
aquatic botany,7
sydowia,1
remote sensing of environment,3
ecological indicators,21
journal of ethnobiology and ethnomedicine,4
marine policy,3
journal of the marine biological association of the united kingdom,2
zootaxa,23
regional environmental change,5
journal of the kansas entomological society,3
willdenowia,5
journal of mammalian evolution,4
journal of south american earth sciences,2
trends in plant science,1
applied vegetation science,3
northwest science,1
journal of medical entomology,1
annals of carnegie museum,1
biomedicine & pharmacotherapy = biomedecine & pharmacotherapie,1
madera y bosques,1
national academy science letters,1
acta botanica mexicana,1
"water, air, and soil pollution",1
ecography,52
international review of hydrobiology,1
journal of the lepidopterists' society,1
mitigation and adaptation strategies for global change,1
cladistics,3
coral reefs,2
ethology ecology and evolution,1
diversity and distributions,65
"estuarine, coastal and shelf science",4
sociobiology,1
journal of zoology,2
journal of geophysical research-biogeosciences,1
seed science research,1
biological journal of the linnean society,25
polish journal of environmental studies,1
heredity,9
mammal study,2
zoologia,2
african journal of aquatic science,4
biocontrol science and technology,1
annals of the missouri botanical garden,2
australian journal of entomology,1
transactions in gis,3
international journal of health geographics,3
journal of asia-pacific entomology,1
zoological journal of the linnean society,4
global environmental change,1
journal of phytopathology,1
proceedings of the entomological society of washington,5
fish and fisheries,2
restoration ecology,1
veterinary parasitology,1
herpetologica,2
blumea,1
plant biology,4
belgian journal of zoology,1
experimental & applied acarology,2
current zoology,5
theoretical and applied climatology,4
conservation letters,1
marine ecology progress series,1
computers and electronics in agriculture,1
acta tropica,3
diatom research,2
review of palaeobotany and palynology,7
journal of cultural heritage,1
ecosystems,1
journal of ichthyology,1
planta,1
biomass and bioenergy,2
archives of virology,1
annales zoologici fennici,2
contemporary problems of ecology,2
environmental research letters,1
aquatic conservation: marine and freshwater ecosystems,12
annals of botany,12
canadian journal of forest research,2
journal of molluscan studies,3
chinese geographical science,1
global change biology bioenergy,4
canadian journal of botany,4
progress in physical geography,1
weed research,13
annals of microbiology,1
reviews in fish biology and fisheries,1
comparative biochemistry and physiology - part d: genomics and proteomics,1
canadian journal of fisheries and aquatic sciences,2
deutsche entomologische zeitschrift,1
ecology letters,24
journal of experimental botany,2
ecological economics,2
plant and soil,2
biological control,3
records of natural products,1
medical and veterinary entomology,3
trends in parasitology,1
new phytologist,51
fungal biology,2
new forests,1
journal of applied ecology,12
biological reviews,1
journal of ethnopharmacology,12
pacific science,4
plant ecology and evolution,4
"perspectives in plant ecology, evolution and systematics",5
revista chilena de historia natural,1
reviews in aquaculture,1
sensors,1
insect conservation and diversity,7
freshwater biology,8
proceedings of the national academy of sciences of the united states of america,35
genome biology and evolution,1
acta biologica cracoviensia series botanica,2
journal of zoological systematics and evolutionary research,9
journal of ecology,26
functional ecology,5
journal for nature conservation,20
international journal of odonatology,1
journal of mammalogy,8
molecular ecology resources,5
entomological news,4
powder technology,1
oikos,8
environmental and experimental botany,4
transboundary and emerging diseases,2
aquatic insects,1
integrative zoology,2
mycoscience,2
arthropod-plant interactions,4
transactions of the royal society of tropical medicine and hygiene,2
journal of animal ecology,6
erdkunde,1
ecohealth,3
international journal for parasitology,2
bmc genomics,1
journal of heredity,6
agronomy for sustainable development,1
chinese medicine,2
plant physiology,2
avian biology research,2
zoonoses and public health,1
journal of pest science,2
journal of invertebrate pathology,1
health and place,1
risk analysis,2
journal of plant research,3
florida entomologist,2
agricultural and forest meteorology,3
central european journal of biology,2
geoinformatica,1
revista de biologia tropical,1
crop breeding and applied biotechnology,1
australasian plant pathology,1
contributions to zoology,1
annals of applied biology,2
environmental science & technology,2
marine ecology,1
phyllomedusa,1
fungal ecology,7
northeastern naturalist,3
grana,1
turkish journal of botany,1
"agriculture, ecosystems and environment",2
new zealand journal of agricultural research,1
evolution,21
oryx,10
primates,2
helgoland marine research,2
natureza & conservacao,3
invertebrate biology,1
ambio,5
applied ecology and environmental research,3
biology bulletin,1
journal of mountain science,1
current science,1
zebrafish,1
environments,1
malaria journal,1
international journal of pest management,1
water resources research,1
fitoterapia,1
journal of the science of food and agriculture,1
american journal of botany,42
biology letters,5
insect science,1
organisms diversity and evolution,5
geographical journal,1
african invertebrates,1
journal of archaeological science,1
parasitology,2
ciencia rural,1
tree physiology,1
"flora: morphology, distribution, functional ecology of plants",13
acta botanica brasilica,5
folia geobotanica,1
applied soil ecology,1
international journal of plant sciences,7
journal of field ornithology,4
palaeoworld,2
international journal of molecular sciences,2
toxicology in vitro,1
bulletin of geosciences,1
tree genetics and genomes,6
journal of phycology,1
deep-sea research part ii: topical studies in oceanography,5
crop protection,7
bmc biology,1
bioenergy research,1
systematic entomology,1
crop science,3
kew bulletin,2
theoretical ecology,1
briefings in bioinformatics,1
proceedings of the royal society - biological sciences (series b),26
comptes rendus - palevol,1
journal of applied entomology,3
vector-borne and zoonotic diseases,3
journal of crustacean biology,2
global change biology,42
plant biosystems,4
wilson journal of ornithology,1
transgenic research,1
professional geographer,1
molecules,1
revista arvore,1
international journal of epidemiology,1
zoologischer anzeiger,3
neuroinformatics,1
entomologica americana,1
international journal of environmental research,1
botany-botanique,1
bmc microbiology,1
animal conservation,2
environmental impact assessment review,1
nature communications,17
palaeontology,1
plant physiology and biochemistry,1
deep-sea research part i: oceanographic research papers,2
industrial crops and products,2
bryologist,6
science of the total environment,17
genetica,2
sugar tech,1
vegetation history and archaeobotany,1
south african journal of botany,14
journal of the north american benthological society,1
journal of limnology,1
oceanology,1
geology,2
herzogia,1
forest pathology,1
evolutionary biology,2
bioinformatics,1
journal of molecular evolution,1
dendrochronologia,1
integrative and comparative biology,2
river research and applications,1
human and ecological risk assessment,1
copeia,1
agroforestry systems,3
animal biodiversity and conservation,1
agricultural systems,2
iawa journal,1
genetic resources and crop evolution,20
economic botany,2
journal of avian biology,16
oecologia,8
russian journal of genetics,1
castanea,1
plant biotechnology journal,1
phytochemical analysis,1
journal of chemical information and modeling,1
journal of insect conservation,18
mammalia,3
biological invasions,64
agricultural and forest entomology,5
weed science,2
integrated environmental assessment and management,1
systematic botany,9
environmental conservation,3
southern forests,1
journal of evolutionary biology,4
apidologie,2
bird conservation international,7
plant genetic resources-characterization and utilization,4
scientia marina,1
acta oecologica,4
european journal of entomology,2
bmc evolutionary biology,32
thalassas,4
ostrich,1
molecular biology and evolution,2
coleopterists bulletin,2
cybium,2
southwestern naturalist,1
quaternary science reviews,9
wetlands,1
marine genomics,1
plos biology,4
wildlife society bulletin,1
journal of fish biology,12
bosque,2
ecoscience,1
aquatic ecology,2
journal of applied ichthyology,1
experimental parasitology,1
polish polar research,1
australian systematic botany,2
condor,5
botanical studies,2
american fern journal,1
journal of forestry research,3
journal of ornithology,8
landscape and urban planning,1
journal of vegetation science,14
limnetica,1
fungal diversity,1
international journal of biometeorology,4
ecohydrology,2
alcheringa,1
zoosystema,3
global and planetary change,4
journal of insect science,4
international journal of remote sensing,1
bmc public health,1
molecular ecology,50
ecological modelling,29
african journal of herpetology,2
current biology,4
american journal of primatology,1
botanical journal of the linnean society,19
journal of arachnology,1
memorias do instituto oswaldo cruz,2
paleobiology,2
american midland naturalist,1
ecological applications,11
journal of the torrey botanical society,3
african entomology,1
turkish journal of fisheries and aquatic sciences,1
concurrency computation practice and experience,1
journal of hymenoptera research,4
plant ecology & diversity,2
science,2
marine environmental research,3
bird study,1
marine biology research,3
new zealand journal of botany,2
forest ecology and management,14
norsk geografisk tidsskrift,1
quaternary international,6
malacologia,1
acta herpetologica,1
trends in ecology and evolution,1
systematic biology,11
ecological entomology,2
soil biology and biochemistry,1
plos neglected tropical diseases,7
austral ecology,16
folia zoologica,1
plos pathogens,1
international journal of applied earth observation and geoinformation,1
scandinavian journal of forest research,1
food chemistry,1
environmental earth sciences,4
marine drugs,1
neotropical ichthyology,1
acta ichthyologica et piscatoria,2
hydrobiologia,9
ursus,2
geophysical research letters,1
botanical review,3
molluscan research,1
journal of sea research,1
biologia,4
lichenologist,4
phytochemistry reviews,1
acta societatis botanicorum poloniae,2
journal of plankton research,2
evolutionary ecology,3
"plant, cell and environment",3
food security,1
marine and freshwater research,2
brittonia,1
applied microbiology and biotechnology,2
medical hypotheses,1
journal of arid environments,6
mountain research and development,1
applied geography,4
journal of biogeography,132
biochemical systematics and ecology,4
isme journal,1
polar biology,5
phytoparasitica,2
amphibia reptilia,7
earth-science reviews,1
phytochemistry,1
molecular biology reports,2
international journal of geographical information science,4
auk,4
international journal of primatology,2
acta phytotaxonomica sinica,8
neotropical entomology,3
hortscience,1
journal of economic entomology,5
journal of anthropological archaeology,1
biocontrol,3
water research,1
bmc bioinformatics,3
entomological research,3
nordic journal of botany,5
spanish journal of agricultural research,2
palynology,3
conservation biology,14
ardea,2
plos one,226
phytochemistry letters,7
acta chiropterologica,1
studies on neotropical fauna and environment,3
mitochondrial dna,1
parasites & vectors,9
biodiversity and conservation,60
zoologica scripta,10
european journal of forest research,1
journal of sustainable forestry,1
journal of biological research-thessaloniki,1
climatic change,10
estuaries and coasts,4
journal of tropical ecology,1
ecological informatics,24
mycorrhiza,2
bmc ecology,2
renewable & sustainable energy reviews,3
geospatial health,1
plant ecology,2
biotropica,5
"philosophical transactions of the royal society of london series b, biological sciences",16
phytotherapy research,1
entropy,2
molecular plant pathology,1
international journal of life cycle assessment,1
anales del jardin botanico de madrid,1
plant systematics and evolution,10
endangered species research,1
turkish journal of zoology,2
nature,10
stochastic environmental research and risk assessment,1
experimental agriculture,1
annals of the entomological society of america,5
canadian entomologist,2
"journal of agricultural, biological, and environmental statistics",1
fems microbiology ecology,1
epidemiology and infection,1
journal of cleaner production,1
environmental biology of fishes,3
biomedica : revista del instituto nacional de salud,1
crop & pasture science,1
marine pollution bulletin,2
atmosfera,1
web ecology,1
russian journal of ecology,1
environmental monitoring and assessment,4
annals of forest science,1
mycologia,2
hystrix-italian journal of mammalogy,3
acta botanica gallica,1
environmental entomology,3
revista mexicana de biodiversidad,13
information systems,2
western north american naturalist,3
global ecology and biogeography,71
mammalian biology,4
raffles bulletin of zoology,1
entomological science,1
quaternary research,1
rhodora,3
journal of micropalaeontology,1
bothalia,3
geobios,1
polar research,1
ecological research,3
pest management science,9
marine biology,2
journal of herpetology,1
ecology,2
systematics and biodiversity,7
journal of great lakes research,1
progress in oceanography,3
ibis,4
environmental management,6
african journal of ecology,5
hormones and behavior,1
journal of theoretical biology,1
bmc plant biology,2
canadian journal of plant science,2
landscape ecology,6
bmc genetics,1
biogeosciences,1
brazilian journal of biology = revista brasleira de biologia,1
ecological engineering,5
natural areas journal,1
mycological progress,4
environmental science and policy,2
crustaceana,2
zookeys,20
die naturwissenschaften,3
human ecology,1
science china-earth sciences,1
novon,1
limnology and oceanography,1
journal of productivity analysis,1
southwestern entomologist,2
taxon,4
"cryptogamie, bryologie",1
canadian journal of zoology,3
ices journal of marine science,3
fungal biology reviews,1
anais da academia brasileira de ciencias,1